GEOID,DIST
010730144141007,1
010730143033016,3
010730144143044,5
010730144051002,4
010730144051008,4
010730144103029,1
010730144082008,6
010730144092022,5
010730144092017,5
010730143032011,3
010730144063022,4
011170303473025,2
011170303042031,0
011170303473003,2
011170303511006,1
011170303461017,2
011170303473024,2
011170303502013,1
011170303483014,2
010730144061000,4
010730144052024,4
010730144152010,3
010730127041032,2
010730143034073,3
010730144151017,4
010730144141006,1
010730129131004,6
010730144061024,4
010730144083010,0
010730143034022,3
010730129084007,5
010730129083008,5
011170303473000,2
010730129182002,6
010730144082011,6
010730144063002,4
010730144143035,5
010730144143007,4
010730142081000,3
010730142082007,1
011170303041027,0
011170303502052,1
011170302123027,2
011170303512039,1
011170303511017,1
011170303472019,2
010730144152005,3
010730144053027,4
010730144081007,6
011170303142007,0
010730144092002,5
011170303473029,2
010730129084026,5
010730144081015,6
010730144122036,4
010730144062004,4
010730144061015,4
010730143034077,3
010730144102021,1
010730129071003,0
010730129074002,0
011170303512003,1
010730144122047,4
011170303522044,0
011170303142043,0
011170303142045,0
011170303501014,1
011170303512001,1
011170303522016,0
011170302123021,2
011170303523005,0
011170303523001,0
010730144091005,5
010730143031043,3
010730144101007,0
010730129084021,5
010730129081006,5
010730144152015,3
010730129101067,2
011170303511029,1
011170303502007,1
010730144091053,5
010730144061030,4
010730129101073,2
010730129084004,5
010730144091058,5
010730129192004,6
010730144092009,5
010730144103003,1
010730144102022,1
011170303053002,2
011170302201013,2
010730129073041,5
010730144091008,5
010730144143008,5
011170303041013,0
011170303462039,2
011170303483006,2
011170303461011,2
011170303302002,2
011170303511009,1
011170303142047,0
011170303041005,0
011170303043004,0
011170303042050,0
011170303522043,0
011170303142027,6
010730144122006,4
010730144142016,3
010730144151025,4
010730144083000,6
010730143034024,3
011170303042056,0
011170303042038,0
010730142093029,3
010730129071011,0
010730129192005,6
010730143034006,3
010730144151028,4
010730144051009,4
010730143041009,3
010730144101004,6
010730129071006,0
011170303043019,0
011170302162007,2
011170303302017,2
011170303042013,0
011170303483018,2
011170303523019,0
011170303461013,2
011170303501039,1
011170303511023,1
011170303512009,1
011170303524003,0
011170303302007,2
010730144101013,0
010730129072026,0
010730142093032,3
010730143034072,3
011170303042057,0
011170303462046,2
011170303042022,2
011170302203006,2
011170303511005,1
011170303471019,2
010730129101072,2
010730144062003,4
010730144061012,4
010730144103019,1
011170303523017,0
010730129172007,5
010730143034036,3
010730144152023,3
010730142093019,3
010730144092003,5
011170303042037,0
011170302161013,2
011170303483029,2
011170303042024,2
011170303523040,0
011170303302000,2
011170303312001,2
011170303472014,2
011170303522000,0
011170303043011,0
011170303142005,0
010730144143025,5
010730144051003,4
010730144122044,4
010730144151027,4
010730143034028,3
010730142082012,1
010730144151036,3
011170303142033,0
011170302202029,2
010730129071014,0
010730144091054,5
011170303523011,1
011170302111019,2
010730144151020,3
010730127041028,2
010730144061041,4
010730129131009,6
010730144061017,4
010730144121016,4
011170303303028,2
011170303473037,2
010730144151022,3
010730144062011,4
010730143032009,3
010730129182001,6
011170303044026,0
011170303462051,2
010730142083011,1
011170303044027,2
011170302211026,2
011170302161008,2
011170303523051,0
011170303041000,0
011170303462031,2
011170303462032,2
011170303041043,0
011170303524009,0
011170303142036,0
011170303303017,2
011170303461019,2
011170303523002,0
010730144142012,3
010730142084004,1
010730129073007,5
010730144143009,5
011170303043008,0
010730143032007,3
010730144143028,5
010730144151018,3
010730143034055,3
010730144152017,3
010730144052016,4
010730144091033,5
010730142052032,1
010730144103012,1
010730144103015,1
010730144103001,1
010730144082023,6
011170302203010,2
011170303041026,0
010730144102017,1
011170302123015,2
011170303461010,2
011170303512014,1
011170303141002,0
011170303473006,2
011170302203007,2
011170303502006,1
010730144063009,4
010730144152004,3
011170303462059,2
011170303473039,2
011170303473008,2
011170302201008,2
010730142081005,1
010730144151021,3
010730143032020,3
010730142093024,3
010730144061019,4
010730142084054,1
010730129073036,5
010730143034017,3
010730144092012,5
011170302202030,2
011170303483013,2
010730142093033,3
010730144053029,4
010730144064015,4
011170303461020,2
011170303041019,0
011170303303012,2
011170303523047,0
011170303041042,0
011170302123025,2
011170303461027,2
011170302201015,2
011170303502011,1
011170303141006,0
011170302161003,2
011170303523032,0
011170303522022,0
011170302161002,2
011170302161015,2
010730144122007,4
010730129082008,5
010730144061044,4
010730144122024,4
011170303142032,0
011170302203002,2
010730144143041,5
010730144142005,1
010730143031044,3
010730144083023,0
010730129081008,5
010730143034018,3
010730144103025,1
010730144063000,4
011170302211022,2
010730144083017,6
010730144062002,4
010730144091034,5
010730129073034,5
011170302201017,2
011170303502115,1
011170302202003,2
011170303461023,2
010730144103020,1
011170303502057,1
011170303523018,0
011170303473002,2
011170303523033,0
011170303473050,2
010730144122005,4
010730143032024,3
011170303151007,0
011170303511013,1
011170303511027,1
011170303512017,1
010730143032018,3
010730144091050,5
010730144061042,4
010730144041057,4
010730142051000,1
010730142052033,1
010730129191002,6
010730144152006,3
010730143041010,3
010730144081005,6
011170303523003,0
011170302161006,2
010730129181008,6
010730144082006,6
010730144062012,4
011170303044034,0
011170302161005,2
011170303473023,2
011170302204015,2
011170303523045,0
011170303042032,0
011170303462043,2
011170303042055,0
010730144142015,3
010730142082009,1
010730144122055,4
010730144062029,4
010730129073006,5
010730144041055,4
010730144091045,5
010730144061031,4
010730142093035,3
011170303142019,0
010730129083013,5
010730144151044,3
010730144081013,6
010730144062007,4
010730143034015,3
010730143034007,3
010730144052012,4
010730144091040,5
010730144092007,5
011170303142031,0
