GEOID,DIST
121079502013131,1
121079506002038,3
121079502013266,1
121079509005016,3
121079510003000,3
121079507004029,4
121079503001158,2
121079503001142,2
121079505002016,2
121079509001013,3
121079509001014,4
121079507001105,4
121079514021050,5
121079501003025,1
121079503003183,2
121079514012014,5
121079502012165,2
121079504002026,2
121079503001055,2
121079502022076,1
121079502012045,1
121079503001115,2
121079505004009,2
121079503004015,2
121079505001034,3
121079507001016,4
121079501003000,1
121079507002048,4
121079508002056,4
121079514011029,5
121079512003002,3
121079512003004,3
121079512003044,3
121079514021030,5
121079512003057,3
121079507002060,4
121079502021013,1
121079508004054,3
121079514013037,5
121079514023027,5
121079503001010,2
121079514023024,5
121079502011045,2
121079504001009,2
121079502022078,1
121079513001090,5
121079505002012,2
121079512003011,3
121079503004032,2
121079514022034,5
121079502013146,1
121079508001013,4
121079502011015,1
121079512004012,3
121079505001081,5
121079508003034,4
121079512003072,3
121079506003057,4
121079502013274,1
121079508001037,4
121079503003202,2
121079504001010,2
121079503001033,2
121079513001077,5
121079514013052,5
121079514012006,5
121079513001065,5
121079513002015,5
121079501002006,1
121079513002104,5
121079511003020,3
121079506002007,4
121079511003002,3
121079503003120,2
121079503003002,2
121079509001025,4
121079514021073,5
121079502022075,1
121079505001073,5
121079514011022,5
121079513002111,5
121079512005032,5
121079513002022,5
121079513001047,5
121079503003030,2
121079503001144,2
121079505002004,2
121079505003012,2
121079514021060,5
121079512003024,3
121079514022013,5
121079503003050,2
121079503003200,2
121079502022135,1
121079502022047,1
121079505004104,2
121079507002068,4
121079502013223,1
121079503004025,2
121079512005019,5
121079503003164,2
121079502014051,2
121079505003054,2
121079506001007,3
121079506003068,1
121079502014038,2
121079514022020,5
121079502013068,1
121079503002017,2
121079503003110,2
121079504001020,2
121079502013178,1
121079502013189,1
121079502011075,1
121079507002084,4
121079507003003,4
121079512004052,3
121079505004029,2
121079505002082,2
121079511001018,3
121079514013074,5
121079505003018,2
121079501002003,1
121079507002036,4
121079502013206,1
121079512005003,5
121079505002102,2
121079514023030,5
121079504002014,2
121079512004027,3
121079511002012,3
121079509003011,4
121079510001035,3
121079505001071,5
121079512002017,5
121079505002025,2
121079506001014,3
121079505001049,5
121079510001042,3
121079502022013,1
121079511002021,3
121079502013021,1
121079514021042,5
121079514013031,5
121079511002005,3
121079512004077,3
121079505004035,2
121079505001018,1
121079513002123,5
121079511003034,3
121079502013205,1
121079508004041,4
121079502013104,1
121079503003136,2
121079503003127,2
121079503002063,2
121079502011004,1
121079505003030,2
121079513002143,5
121079503001190,2
121079502011013,1
121079502011073,1
121079505002019,2
121079513001006,5
121079502013230,1
121079512004020,3
121079510003024,3
121079502013043,1
121079502013016,1
121079502013056,1
121079502013209,1
121079507003008,4
121079508002059,4
121079514023029,5
121079512004050,3
121079506002016,3
121079503002058,2
121079505002048,2
121079502022070,1
121079508002060,4
121079502013243,1
121079508004028,4
121079507003025,4
121079512005014,5
121079506003042,4
121079514021055,5
121079514021063,5
121079503003044,2
121079503003027,2
121079508003037,3
121079502022061,1
121079503003113,2
121079503003151,2
121079514021011,5
121079511001000,3
121079503001071,2
121079502014080,2
121079511003028,3
121079509001017,4
121079513002057,5
121079507004031,4
121079514011007,5
121079505001083,5
121079513001035,5
121079503001191,2
121079511003031,3
121079512003042,3
121079503002016,2
121079511002043,3
121079503002065,2
121079502013090,1
121079512003063,3
121079502013196,1
121079502013246,1
121079505003026,2
121079512001011,3
121079502022109,1
121079502011038,1
121079514013054,5
121079502013123,1
121079501003019,1
121079503003022,2
121079505003048,2
121079513001007,5
121079514011043,5
121079502013142,1
121079502013138,1
121079502013239,1
121079505004081,2
121079514013017,5
121079506003058,4
121079512003003,3
121079507002016,4
121079504001003,2
121079503004016,2
121079514013049,5
121079505003017,2
121079501002038,1
121079503003006,2
121079502013175,1
121079510003023,3
121079505004117,2
121079511004005,3
121079502012157,1
121079503004010,2
121079503001235,2
121079506002021,3
121079507001084,4
