GEOID20,DIST
281210210052023,0
281210210034013,0
281210209021016,4
281210208032015,4
281210208032038,4
281210201032004,2
281210203042014,3
281210210033036,0
281210204023012,0
281210202102017,1
281210201013012,1
281210208032016,4
281210202103001,1
281210204022023,0
281210210011005,0
281210201041006,2
281210206011009,3
281210208031059,4
281210209023036,4
281210201011047,4
281210209021018,4
281210201041013,2
281210206012006,3
281210210041017,0
281210210013011,0
281210201011036,4
281210202121015,1
281210202092012,1
281210201051068,4
281210209011088,4
281210208032011,0
281210202081002,2
281210210011002,0
281210205001015,3
281210206012018,3
281210201051010,4
281210210012001,0
281210202102004,1
281210210031004,0
281210209012020,4
281210206012011,3
281210201012006,4
281210208043003,3
281210208031009,4
281210208062019,4
281210202103011,1
281210206011020,3
281210201012045,4
281210201042020,1
281210209011086,4
281210210052040,0
281210202093000,1
281210210052050,0
281210202093010,1
281210210034003,0
281210203032009,1
281210204012022,0
281210201041018,2
281210209023024,4
281210210012005,0
281210201011016,4
281210204021025,0
281210205001008,3
281210204013017,0
281210209021002,4
281219800001025,3
281210209012010,4
281210202094002,1
281210201051067,4
281210208031020,4
281210204024008,0
281210204024009,0
281210203041001,3
281210201051054,4
281210206011014,3
281210210011003,0
281210203031026,1
281210209012016,4
281210202082001,2
281210210052031,0
281210204012020,0
281210208062011,4
281219800001012,3
281210204023005,0
281210209021006,4
281210203043020,3
281210204013032,0
281210209011034,4
281210201011025,4
281210209011041,4
281210208011015,3
281210203043028,3
281210201012009,2
281210204012001,3
281210202192000,2
281210206011018,3
281210210014016,0
281210210014001,0
281210209023025,4
281210208052034,3
281210208062025,4
281210208044008,4
281210204011006,0
281210208031018,4
281210202086014,2
281210209022029,4
281210208041007,3
281210201012025,4
281210204012005,3
281210209011081,4
281210208052037,3
281210201051036,4
281210202085014,2
281210209023055,4
281210205001020,3
281210210013013,0
281210204022013,3
281210204021000,3
281210209021007,4
281210202131001,2
281210210011030,0
281210206012015,3
281210203041084,3
281210204023009,0
