GEOID20,DIST
281210210052023,4
281210210034013,4
281210209021016,0
281210208032015,0
281210208032038,0
281210201032004,3
281210203042014,1
281210210033036,4
281210204023012,4
281210202102017,2
281210201013012,2
281210208032016,0
281210202103001,2
281210204022023,4
281210210011005,4
281210201041006,2
281210206011009,0
281210208031059,0
281210209023036,2
281210201011047,2
281210209021018,0
281210201041013,2
281210206012006,0
281210210041017,4
281210210013011,4
281210201011036,2
281210202121015,1
281210202092012,2
281210201051068,2
281210209011088,0
281210208032011,0
281210202081002,3
281210210011002,4
281210205001015,0
281210206012018,0
281210201051010,2
281210210012001,4
281210202102004,2
281210210031004,4
281210209012020,0
281210206012011,0
281210201012006,2
281210208043003,0
281210208031009,0
281210208062019,3
281210202103011,2
281210206011020,0
281210201012045,2
281210201042020,2
281210209011086,0
281210210052040,4
281210202093000,1
281210210052050,4
281210202093010,1
281210210034003,4
281210203032009,1
281210204012022,4
281210201041018,3
281210209023024,2
281210210012005,4
281210201011016,2
281210204021025,4
281210205001008,0
281210204013017,4
281210209021002,0
281219800001025,1
281210209012010,0
281210202094002,1
281210201051067,2
281210208031020,0
281210204024008,4
281210204024009,4
281210203041001,1
281210201051054,2
281210206011014,0
281210210011003,4
281210203031026,1
281210209012016,0
281210202082001,3
281210210052031,4
281210204012020,4
281210208062011,3
281219800001012,1
281210204023005,4
281210209021006,0
281210203043020,1
281210204013032,4
281210209011034,0
281210201011025,2
281210209011041,0
281210208011015,3
281210203043028,1
281210201012009,2
281210204012001,4
281210202192000,2
281210206011018,0
281210210014016,4
281210210014001,4
281210209023025,2
281210208052034,3
281210208062025,0
281210208044008,0
281210204011006,4
281210208031018,0
281210202086014,3
281210209022029,0
281210208041007,0
281210201012025,2
281210204012005,4
281210209011081,0
281210208052037,3
281210201051036,2
281210202085014,3
281210209023055,0
281210205001020,0
281210210013013,4
281210204022013,4
281210204021000,4
281210209021007,0
281210202131001,3
281210210011030,4
281210206012015,0
281210203041084,4
281210204023009,4
281210209011083,0
281210209012013,0
281210209012021,0
281210201011013,2
281210210042013,4
281210202121030,2
281210205002011,0
281210201011018,2
281210202181003,2
281210202181002,2
281210203043002,1
281210201042014,2
281210204012026,4
281210204022027,4
281210202086018,3
281210208043008,0
281210201051062,2
281210210014019,4
281210203031003,1
281210202093006,1
281210201051039,2
281210201012030,2
281219800001019,1
281210210052007,4
281210202181011,2
281210202191001,1
281210203043019,1
281210203043010,1
281210204023013,4
281210204021009,4
281210203043009,1
281210210034046,4
281210210052047,4
281210204021004,4
281210208052046,3
281210210052014,4
281210208031001,0
281210204023006,4
281210205001019,0
281210205001010,0
281210202103016,2
281210210032014,4
281210210051007,0
281210209023031,0
281210201011074,2
281210205002001,0
281210209011037,0
281210209023030,0
281210208044018,0
281210202094014,1
281210202081012,3
281210202084006,3
281210209023056,0
281210201041020,3
281210207031001,3
281210208061020,3
281210202093011,1
281210202193018,3
281210203042004,1
281210201042006,2
281210204023011,4
281210202121043,1
281210202183001,3
281210209021057,0
281210210031005,4
281210203031010,1
281210202141000,1
281210208062015,3
281210201051031,2
281210208012027,3
281210210034012,4
281210208032005,0
281210202101016,2
281210208052009,3
281210208011000,3
281210210014015,4
281210201051009,2
281210208031044,0
281210210052038,4
281210205001005,0
281210204025002,4
281210204022008,4
281210201011027,2
281210210051014,0
281210208061012,3
281210202121037,1
281210202171020,1
281210209011022,0
281210209022033,0
281210207031040,3
281210210033018,4
281210202193010,3
281210201051086,2
281210201051077,2
281210204021040,0
281210210033007,4
281210209023011,2
281210210052073,4
281210202131007,3
281210202161023,1
281210210034001,4
281210208052027,0
281210201011045,2
281210203031021,1
281210204012000,4
281210202082002,3
281210210032010,4
281210210011017,4
281210201011040,2
281210210033037,4
281210210032016,4
281210208031056,0
281210209021029,0
281210202152012,1
281210202152006,1
281210201041022,2
281210209012008,0
281210202121032,1
281210209011077,0
281210209023034,2
281210203031015,1
281210210051009,0
281210203041003,1
281210202191008,1
281210202192002,1
281210203031000,1
281210204012002,4
281210202121008,2
281219800001009,1
281210203042000,1
281210202086009,3
281210202103004,2
281210210052032,4
281210209023048,0
281210204022029,4
281210208012029,3
281210201041031,2
281210201013005,2
281210201012008,2
281210208062010,3
281210210013012,4
281210202193020,3
281219800001006,1
281210209011054,0
281210210032008,4
281210210042029,4
281210202162009,1
281210202092005,2
281210201051037,2
281210209023016,2
281210210033012,4
281219800001023,1
281210205001011,0
281210209023019,2
281210209023014,2
281210204025000,4
281210205002007,0
281210210052065,4
281210210011021,4
281210210042006,4
281210210051017,0
281210204023023,4
281210202121000,2
281210209011057,0
281210202082003,3
281210208052001,3
281210204012018,4
281210202085011,3
281210201051017,2
281210209021021,0
281210209011076,0
281210210032018,4
281210202121003,2
281210202193007,3
281210208032037,0
281210209011027,0
281210202152029,1
281210208031034,0
281210209011040,0
281210209022020,0
281210208052014,3
281210209022025,0
281210202192020,3
281210202081005,3
281210202084004,3
281210203041085,4
281210208012021,3
281210208012016,3
281210208041008,0
281210201051047,2
281210203043007,1
281210210043007,0
281210210051035,4
281210210034004,4
281210202094000,2
281210201031020,3
281210202131008,3
281210201051106,2
281210209011085,0
281210202193003,3
